service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,0,1,1,1,1,1,0,20251021,20251231
PVS2025-26-33-L-Ma-J-V-36-33,1,1,0,1,1,0,0,20251020,20251231
RESEAU2023-82-Semaine-81-82,1,1,1,1,1,0,0,20251020,20251231
RESEAU2023-88-Semaine-84-88,1,1,1,1,1,0,0,20251020,20251231
PVS2025-26-64-Semaine-37-64,1,1,1,1,1,0,0,20251020,20251231
chouette:TimeTable:7c110f90-af73-406a-933a-a410180690d3:LOC,0,1,1,1,1,1,0,20250906,20251227
PVS2025-26-57-Semaine-07-57,1,1,1,1,1,0,0,20251020,20251231
chouette:TimeTable:51091117-5e87-49ee-93eb-199a16093987:LOC,0,1,1,1,1,1,0,20251021,20251231
SETP2025-15-Dimanche-11-15,0,0,0,0,0,0,1,20250907,20250921
PVS2025-26-32-Semaine-34-32,1,1,1,1,1,0,0,20251020,20251231
PROJET2025-LIsola-Semaine-14-LIso,1,1,1,1,1,0,0,20250901,20250912
PROJET2025-22-Mercredi-20-22,0,0,1,0,0,0,0,20250903,20251217
chouette:TimeTable:c94314f2-2ef8-44e9-8bfc-9f867e827fe5:LOC,0,0,0,0,0,0,1,20250907,20251228
PROJET2025-94-Semaine-08-1011100-94,1,0,1,1,1,0,0,20250901,20251031
RESEAU2022-745-Lundi-02-745,1,0,0,0,0,0,0,20250901,20251215
RESEAU2021-C40-Semaine-02-0001000-C40,0,0,0,1,0,0,0,20250904,20251218
RESEAU2021-C36-Semaine-03-1000000-C36,1,0,0,0,0,0,0,20250901,20251231
PROJET2024-63-Semaine-67-63,1,1,1,1,1,0,0,20251020,20251231
SETP2025-20-Semaine-42-20,1,1,1,1,1,0,0,20250901,20251231
chouette:TimeTable:20c1bc48-7a5f-44a8-a465-b215496910b3:LOC,1,0,0,0,0,0,0,20250831,20250901
PVS2025-26-18-Semaine-39-18,1,1,1,1,1,0,0,20251020,20251231
SETP2025-L1-Semaine-05-L1,1,1,1,1,1,0,0,20250905,20251226
