stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_timezone,wheelchair_boarding
1,ABBAT8,Abattoirs,43.717886,7.284703,,0,place_101376,,1
2,ABBAT4,Abattoirs,43.718399,7.284448,,0,place_101376,,1
3,ROSEL2,Abbaye de Roseland,43.693389,7.228426,,0,place_096609,,0
4,ROSEL8,Abbaye de Roseland,43.693219,7.228365,,0,place_096609,,0
5,ARSE4,Abbaye de Roseland / Napoléon III,43.688851,7.231361,,0,place_096610,,0
6,ACROB6,Risso,43.703344,7.280371,,0,place_096612,,1
8,AEPRM1,Aéroport / Promenade,43.666336,7.212338,,0,place_101377,,1
11,AEPRM2,Aéroport / Promenade,43.666523,7.212107,,0,place_101377,,1
12,ALBER3,Albert 1er,43.69585,7.269182,,0,place_096616,,0
13,ALBER8,Jardin d'Arménie,43.695717,7.2666,,0,place_096617,,0
14,GIOFF7,Alberti / Gioffredo,43.699098,7.272904,,0,place_096619,,1
15,ALBER7,Alberti / Hôtel des Postes,43.699981,7.271693,,0,place_096620,,1
16,NCALL1,Allée Centrale,43.744833,7.300665,,0,place_096621,,0
17,NCALL2,Allée Centrale,43.744833,7.300479,,0,place_096621,,0
18,AJARD9,Allée des Jardiniers,43.709162,7.192373,,0,place_AJARD9,,0
19,AJARD7,Allée des Jardiniers,43.70948,7.192209,,0,place_100004,,0
20,AKARR0,Alphonse Karr,43.700101,7.264318,,0,place_096623,,0
21,ALSAC2,Alsace-Lorraine,43.697959,7.256187,,0,place_096624,,1
22,ALSAC5,Alsace-Lorraine,43.698083,7.256275,,0,place_096624,,1
23,AMBOI7,Amboise,43.67742,7.206644,,0,place_096625,,1
24,AMBOI2,Amboise,43.677323,7.206705,,0,place_096625,,1
25,ANCOC6,Pont Michel,43.722575,7.289889,,0,place_097331,,1
26,ANCO16,Pont Michel,43.722626,7.290093,,0,place_097331,,1
27,ANCOC4,Ancien Octroi,43.72304,7.289576,,0,place_096626,,1
29,ANSAL8,Ansaldi,43.695849,7.242403,,0,place_096628,,1
30,ANSAL5,Ansaldi,43.695263,7.242953,,0,place_096628,,1
33,APOGE4,Apogées,43.687036,7.220697,,0,place_096630,,0
34,ARAUB2,Araucaria Batterie,43.678158,7.220321,,0,place_096631,,1
35,ARAU72,Araucaria Batterie,43.678317,7.219468,,0,place_096631,,1
36,ARBO06,Arboras,43.693049,7.205957,,0,place_096632,,0
37,ARBOR7,Arboras,43.692897,7.205754,,0,place_096632,,0
38,ARCAD7,Arcadia,43.6832,7.223116,,0,place_096633,,1
39,ARCAD9,Arcadia,43.682652,7.22268,,0,place_096633,,1
40,ARCAD0,Arcadia,43.682843,7.222212,,0,place_096633,,1
44,ARENE7,Arènes / Musée Matisse,43.720257,7.275093,,0,place_096635,,1
45,ARENE5,Arènes / Musée Matisse,43.719833,7.274818,,0,place_096635,,0
46,ARENE3,Arènes / Musée Matisse,43.720116,7.274531,,0,place_096635,,1
48,ASSAL3,Gare Thiers / Médecin,43.705091,7.264273,,0,place_GSNCFM,,1
52,ASSAL7,Gare Thiers / Médecin,43.705326,7.265292,,0,place_099722,,1
53,AUBTO4,Auberge du Tortéo,43.739143,7.261666,,0,place_096638,,0
54,AUBTO5,Auberge du Tortéo,43.739231,7.261487,,0,place_096638,,0
55,AUVAR9,Auvare,43.712865,7.28883,,0,place_096641,,1
56,CHAMP3,Avenue de Champagne,43.726694,7.271115,,0,place_CHAMP,,0
57,CHAMP2,Avenue de Champagne,43.726709,7.271166,,0,place_CHAMP,,1
58,GERMA7,Avenue Germaine,43.692375,7.29594,,0,place_096652,,0
59,GERMA2,Avenue Germaine,43.692455,7.295898,,0,place_096652,,0
60,AVORA1,Avenue des Orangers,43.696621,7.251604,,0,place_096647,,0
61,POILU7,Avenue des Poilus,43.724018,7.266079,,0,place_096648,,0
62,ALICA2,Avenue d'Alicante,43.693876,7.289194,,0,place_096644,,1
63,ALICA1,Avenue d'Alicante,43.693889,7.289143,,0,place_096644,,1
64,ALBAC1,Avenue du Mont Alban,43.707055,7.297432,,0,place_096653,,0
65,THERE6,Avenue Thérèse,43.72233,7.275526,,0,place_096654,,0
66,THERE1,Avenue Thérèse,43.723107,7.275697,,0,place_096654,,0
67,UNIVE7,Vauban / Université,43.710302,7.287864,,0,place_099488,,1
68,ELISA0,IFSI / Cap-de-Croix,43.727092,7.275806,,0,place_096649,,1
69,FLEUR1,Avenue des Fleurs,43.698599,7.251215,,0,place_096646,,1
70,FLEUR4,Avenue des Fleurs,43.698271,7.251342,,0,place_096646,,0
71,FLEU74,Avenue des Fleurs,43.697838,7.253285,,0,place_096646,,0
72,AVORA2,Avenue des Orangers,43.696796,7.251445,,0,place_096647,,0
73,ELIS10,IFSI / Cap-de-Croix,43.727319,7.275763,,0,place_096649,,1
74,FRACH0,Avenue Fracchia,43.71271,7.295878,,0,place_096651,,0
75,FRAC70,Avenue Fracchia,43.712632,7.296008,,0,place_096651,,0
77,AZUPA8,Azura Park,43.692287,7.210704,,0,place_096655,,0
78,AZURE5,Azurelle,43.68461,7.216655,,0,place_096656,,0
79,AZURE6,Azurelle,43.684352,7.217086,,0,place_096656,,0
80,BAPAI5,Balcons Parc Impérial,43.704127,7.246937,,0,place_096658,,0
81,BAPAI6,Balcons Parc Impérial,43.704332,7.246926,,0,place_096658,,0
82,BANGH6,Bangui,43.681957,7.213537,,0,place_096659,,1
83,BANGH7,Bangui,43.681916,7.21401,,0,place_096659,,1
84,BARIL2,Barilli,43.706242,7.2172,,0,place_096662,,0
85,BARIL3,Barilli,43.705801,7.216832,,0,place_096662,,0
86,BARLR7,Barla / Riquier,43.702004,7.288673,,0,place_BARLAR,,1
87,BARLA1,Barla,43.701577,7.287225,,0,place_BARLA,,1
88,PBARL6,Pont Barla,43.703427,7.279068,,0,place_097326,,0
89,BARLA2,Barla / Arson,43.700094,7.286575,,0,place_096664,,0
90,BARRA6,Barralis,43.71702,7.234838,,0,place_096666,,0
91,BARRA7,Barralis,43.716983,7.234872,,0,place_096666,,1
92,BASIN8,Bassin,43.693815,7.299781,,0,place_096667,,0
93,BASIN9,Bassin,43.693628,7.299741,,0,place_096667,,0
94,BATTE5,Batterie,43.677733,7.218848,,0,place_096668,,1
96,NCBAT2,Batterie / Princesse Grâce,43.687585,7.306228,,0,place_096669,,0
97,NCBAT1,Batterie / Princesse Grâce,43.688417,7.306748,,0,place_096669,,1
98,BAVAS9,Bavastro,43.700934,7.285879,,0,place_096670,,0
99,BAVAS0,Bavastro,43.701442,7.28424,,0,place_096670,,0
100,PSOLA8,Pierre Sola,43.707063,7.287007,,0,place_PSOLA,,0
101,BEARN4,Béarn,43.707846,7.276185,,0,place_096671,,0
102,BEARN9,Béarn,43.708525,7.275922,,0,place_096671,,0
103,BESIT7,Beau Site,43.700452,7.247481,,0,place_096672,,1
104,BESIT8,Beau Site,43.700438,7.247401,,0,place_096672,,1
105,BTERO9,Beau Terron,43.69215,7.220543,,0,place_BTERO,,0
