service_id,date,exception_type
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251104,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251105,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251106,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251107,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251108,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251111,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251112,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251113,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251114,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251115,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251118,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251119,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251120,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251121,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251122,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251125,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251126,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251127,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251128,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251129,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251202,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251203,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251204,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251205,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251206,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251209,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251210,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251211,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251212,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251213,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251216,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251217,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251218,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251219,2
chouette:TimeTable:c5436d61-0441-4537-a2f7-e8202ca23814:LOC,20251220,2
PVS2025-26-33-L-Ma-J-V-36-33,20251022,1
PVS2025-26-33-L-Ma-J-V-36-33,20251029,1
PVS2025-26-33-L-Ma-J-V-36-33,20251103,2
PVS2025-26-33-L-Ma-J-V-36-33,20251104,2
PVS2025-26-33-L-Ma-J-V-36-33,20251106,2
PVS2025-26-33-L-Ma-J-V-36-33,20251107,2
PVS2025-26-33-L-Ma-J-V-36-33,20251110,2
PVS2025-26-33-L-Ma-J-V-36-33,20251111,2
PVS2025-26-33-L-Ma-J-V-36-33,20251113,2
PVS2025-26-33-L-Ma-J-V-36-33,20251114,2
PVS2025-26-33-L-Ma-J-V-36-33,20251117,2
PVS2025-26-33-L-Ma-J-V-36-33,20251118,2
PVS2025-26-33-L-Ma-J-V-36-33,20251120,2
PVS2025-26-33-L-Ma-J-V-36-33,20251121,2
PVS2025-26-33-L-Ma-J-V-36-33,20251124,2
PVS2025-26-33-L-Ma-J-V-36-33,20251125,2
PVS2025-26-33-L-Ma-J-V-36-33,20251127,2
PVS2025-26-33-L-Ma-J-V-36-33,20251128,2
PVS2025-26-33-L-Ma-J-V-36-33,20251201,2
PVS2025-26-33-L-Ma-J-V-36-33,20251202,2
PVS2025-26-33-L-Ma-J-V-36-33,20251204,2
PVS2025-26-33-L-Ma-J-V-36-33,20251205,2
PVS2025-26-33-L-Ma-J-V-36-33,20251208,2
PVS2025-26-33-L-Ma-J-V-36-33,20251209,2
PVS2025-26-33-L-Ma-J-V-36-33,20251211,2
PVS2025-26-33-L-Ma-J-V-36-33,20251212,2
PVS2025-26-33-L-Ma-J-V-36-33,20251215,2
PVS2025-26-33-L-Ma-J-V-36-33,20251216,2
PVS2025-26-33-L-Ma-J-V-36-33,20251218,2
PVS2025-26-33-L-Ma-J-V-36-33,20251219,2
PVS2025-26-33-L-Ma-J-V-36-33,20251224,1
PVS2025-26-33-L-Ma-J-V-36-33,20251231,1
RESEAU2023-82-Semaine-81-82,20251103,2
RESEAU2023-82-Semaine-81-82,20251104,2
RESEAU2023-82-Semaine-81-82,20251105,2
RESEAU2023-82-Semaine-81-82,20251106,2
RESEAU2023-82-Semaine-81-82,20251107,2
RESEAU2023-82-Semaine-81-82,20251110,2
RESEAU2023-82-Semaine-81-82,20251111,2
RESEAU2023-82-Semaine-81-82,20251112,2
