route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
75,chouette:TimeTable:1a1f0115-0d34-40ed-ace6-30f83422e577:LOC,4962940-75_R_97_7501_11:50-RESEAU2023-75-Dimanche-69-chouette:TimeTable:1a1f0115-0d34-40ed-ace6-30f83422e577:LOC,Gare SNCF,4962940-75_R_97_7501_11:50-RESEAU2023-75-Dimanche-69,1,750032,0,0
75,RESEAU2023-75-Dimanche-69-75,4962940-75_R_97_7501_11:50-RESEAU2023-75-Dimanche-69,Gare SNCF,4962940-75_R_97_7501_11:50-RESEAU2023-75-Dimanche-69,1,750032,0,0
75,RESEAU2023-75-Samedi-77-75,4962972-75_R_97_7501_17:45-RESEAU2023-75-Samedi-77,Gare SNCF,4962972-75_R_97_7501_17:45-RESEAU2023-75-Samedi-77,1,750032,0,0
40,RESEAU2023-40-Semaine-04-40,4350596-40_A_50_4001_14:53-RESEAU2023-40-Semaine-04,Collège Matisse,4350596-40_A_50_4001_14:53-RESEAU2023-40-Semaine-04,0,400009,0,0
62,RESEAU2023-62-Samedi-10-62,4336738-62_R_98_6203_18:10-RESEAU2023-62-Samedi-10,Magnan,4336738-62_R_98_6203_18:10-RESEAU2023-62-Samedi-10,1,620015,0,0
C34,RESEAU2021-C34-Dimanche-02-C34,3064040-C34_R_2_C3401_09:45-RESEAU2021-C34-Dimanche-02-RESEAU2021-C34-Dimanche-02-C34,,3064040-C34_R_2_C3401_09:45-RESEAU2021-C34-Dimanche-02,1,C340002,0,0
C34,chouette:TimeTable:bdc58b5e-d2f7-4f1c-b435-47be864e6679:LOC,3064040-C34_R_2_C3401_09:45-RESEAU2021-C34-Dimanche-02,,3064040-C34_R_2_C3401_09:45-RESEAU2021-C34-Dimanche-02,1,C340002,0,0
62,chouette:TimeTable:eeeb716f-7972-4f7c-b0b6-c42eb0af9e08:LOC,4336785-62_R_98_6201_12:20-RESEAU2023-62-Dimanche-10-chouette:TimeTable:eeeb716f-7972-4f7c-b0b6-c42eb0af9e08:LOC,Magnan,4336785-62_R_98_6201_12:20-RESEAU2023-62-Dimanche-10,1,620015,0,0
62,RESEAU2023-62-Dimanche-10-62,4336785-62_R_98_6201_12:20-RESEAU2023-62-Dimanche-10,Magnan,4336785-62_R_98_6201_12:20-RESEAU2023-62-Dimanche-10,1,620015,0,0
75,chouette:TimeTable:1a1f0115-0d34-40ed-ace6-30f83422e577:LOC,4962945-75_R_97_7501_17:15-RESEAU2023-75-Dimanche-69-chouette:TimeTable:1a1f0115-0d34-40ed-ace6-30f83422e577:LOC,Gare SNCF,4962945-75_R_97_7501_17:15-RESEAU2023-75-Dimanche-69,1,750032,0,0
75,RESEAU2023-75-Dimanche-69-75,4962945-75_R_97_7501_17:15-RESEAU2023-75-Dimanche-69,Gare SNCF,4962945-75_R_97_7501_17:15-RESEAU2023-75-Dimanche-69,1,750032,0,0
40,RESEAU2023-40-Semaine-04-40,4350598-40_A_50_4001_15:53-RESEAU2023-40-Semaine-04,Collège Matisse,4350598-40_A_50_4001_15:53-RESEAU2023-40-Semaine-04,0,400009,0,0
40,RESEAU2023-40-Semaine-04-40,4350594-40_R_99_4001_15:40-RESEAU2023-40-Semaine-04,Pasteur / Gassin,4350594-40_R_99_4001_15:40-RESEAU2023-40-Semaine-04,1,400010,0,0
75,chouette:TimeTable:1a1f0115-0d34-40ed-ace6-30f83422e577:LOC,4962943-75_R_97_7501_15:15-RESEAU2023-75-Dimanche-69-chouette:TimeTable:1a1f0115-0d34-40ed-ace6-30f83422e577:LOC,Gare SNCF,4962943-75_R_97_7501_15:15-RESEAU2023-75-Dimanche-69,1,750032,0,0
75,RESEAU2023-75-Dimanche-69-75,4962943-75_R_97_7501_15:15-RESEAU2023-75-Dimanche-69,Gare SNCF,4962943-75_R_97_7501_15:15-RESEAU2023-75-Dimanche-69,1,750032,0,0
62,RESEAU2023-62-Samedi-10-62,4336737-62_R_98_6204_18:35-RESEAU2023-62-Samedi-10,Magnan,4336737-62_R_98_6204_18:35-RESEAU2023-62-Samedi-10,1,620015,0,0
75,RESEAU2023-75-Samedi-77-75,4962968-75_R_97_7501_12:45-RESEAU2023-75-Samedi-77,Gare SNCF,4962968-75_R_97_7501_12:45-RESEAU2023-75-Samedi-77,1,750032,0,0
75,chouette:TimeTable:1a1f0115-0d34-40ed-ace6-30f83422e577:LOC,4962941-75_R_97_7501_12:50-RESEAU2023-75-Dimanche-69-chouette:TimeTable:1a1f0115-0d34-40ed-ace6-30f83422e577:LOC,Gare SNCF,4962941-75_R_97_7501_12:50-RESEAU2023-75-Dimanche-69,1,750032,0,0
75,RESEAU2023-75-Dimanche-69-75,4962941-75_R_97_7501_12:50-RESEAU2023-75-Dimanche-69,Gare SNCF,4962941-75_R_97_7501_12:50-RESEAU2023-75-Dimanche-69,1,750032,0,0
62,RESEAU2023-62-Samedi-10-62,4336760-62_R_98_6203_09:10-RESEAU2023-62-Samedi-10,Magnan,4336760-62_R_98_6203_09:10-RESEAU2023-62-Samedi-10,1,620015,0,0
62,RESEAU2023-62-Samedi-10-62,4336710-62_A_48_6201_09:03-RESEAU2023-62-Samedi-10,,4336710-62_A_48_6201_09:03-RESEAU2023-62-Samedi-10,0,620012,0,0
62,RESEAU2023-62-Semaine-17-62,4669761-62_R_98_6206_08:38-RESEAU2023-62-Semaine-17,Magnan,4669761-62_R_98_6206_08:38-RESEAU2023-62-Semaine-17,1,620015,0,0
40,RESEAU2023-40-Semaine-04-40,4350582-40_A_50_4001_11:53-RESEAU2023-40-Semaine-04,Collège Matisse,4350582-40_A_50_4001_11:53-RESEAU2023-40-Semaine-04,0,400009,0,0
40,RESEAU2023-40-Semaine-04-40,4350570-40_R_99_4001_14:10-RESEAU2023-40-Semaine-04,Pasteur / Gassin,4350570-40_R_99_4001_14:10-RESEAU2023-40-Semaine-04,1,400010,0,0
40,RESEAU2023-40-Semaine-04-40,4350575-40_A_50_4001_08:05-RESEAU2023-40-Semaine-04,Collège Matisse,4350575-40_A_50_4001_08:05-RESEAU2023-40-Semaine-04,0,400009,0,0
40,RESEAU2023-40-Semaine-04-40,4350571-40_R_99_4001_16:48-RESEAU2023-40-Semaine-04,Pasteur / Gassin,4350571-40_R_99_4001_16:48-RESEAU2023-40-Semaine-04,1,400010,0,0
40,RESEAU2023-40-Semaine-04-40,4350587-40_A_50_4001_14:23-RESEAU2023-40-Semaine-04,Collège Matisse,4350587-40_A_50_4001_14:23-RESEAU2023-40-Semaine-04,0,400009,0,0
40,RESEAU2023-40-Semaine-04-40,4350561-40_R_99_4001_09:40-RESEAU2023-40-Semaine-04,Pasteur / Gassin,4350561-40_R_99_4001_09:40-RESEAU2023-40-Semaine-04,1,400010,0,0
62,RESEAU2023-62-Samedi-10-62,4336741-62_R_98_6202_16:11-RESEAU2023-62-Samedi-10,Magnan,4336741-62_R_98_6202_16:11-RESEAU2023-62-Samedi-10,1,620015,0,0
40,RESEAU2023-40-Semaine-04-40,4350588-40_A_50_4001_17:10-RESEAU2023-40-Semaine-04,Collège Matisse,4350588-40_A_50_4001_17:10-RESEAU2023-40-Semaine-04,0,400009,0,0
40,RESEAU2023-40-Semaine-04-40,4350574-40_A_50_4001_07:28-RESEAU2023-40-Semaine-04,Collège Matisse,4350574-40_A_50_4001_07:28-RESEAU2023-40-Semaine-04,0,400009,0,0
82,chouette:TimeTable:6543f9cf-ebdb-42a7-be00-94faf0ad450d:LOC,4821267-82_A_50_8201_09:45-RESEAU2023-82-Dimanche-85-chouette:TimeTable:6543f9cf-ebdb-42a7-be00-94faf0ad450d:LOC,Plateau de la Justice,4821267-82_A_50_8201_09:45-RESEAU2023-82-Dimanche-85,0,820001,0,0
82,RESEAU2023-82-Dimanche-85-82,4821267-82_A_50_8201_09:45-RESEAU2023-82-Dimanche-85,Plateau de la Justice,4821267-82_A_50_8201_09:45-RESEAU2023-82-Dimanche-85,0,820001,0,0
62,chouette:TimeTable:eeeb716f-7972-4f7c-b0b6-c42eb0af9e08:LOC,4336796-62_A_48_6201_19:00-RESEAU2023-62-Dimanche-10-chouette:TimeTable:eeeb716f-7972-4f7c-b0b6-c42eb0af9e08:LOC,,4336796-62_A_48_6201_19:00-RESEAU2023-62-Dimanche-10,0,620012,0,0
62,RESEAU2023-62-Dimanche-10-62,4336796-62_A_48_6201_19:00-RESEAU2023-62-Dimanche-10,,4336796-62_A_48_6201_19:00-RESEAU2023-62-Dimanche-10,0,620012,0,0
40,RESEAU2023-40-Semaine-04-40,4350560-40_R_99_4001_09:00-RESEAU2023-40-Semaine-04,Pasteur / Gassin,4350560-40_R_99_4001_09:00-RESEAU2023-40-Semaine-04,1,400010,0,0
40,RESEAU2023-40-Semaine-04-40,4350566-40_R_99_4001_12:10-RESEAU2023-40-Semaine-04,Pasteur / Gassin,4350566-40_R_99_4001_12:10-RESEAU2023-40-Semaine-04,1,400010,0,0
40,RESEAU2023-40-Semaine-04-40,4350589-40_A_50_4001_17:48-RESEAU2023-40-Semaine-04,Collège Matisse,4350589-40_A_50_4001_17:48-RESEAU2023-40-Semaine-04,0,400009,0,0
62,chouette:TimeTable:eeeb716f-7972-4f7c-b0b6-c42eb0af9e08:LOC,4336819-62_R_98_6201_19:40-RESEAU2023-62-Dimanche-10-chouette:TimeTable:eeeb716f-7972-4f7c-b0b6-c42eb0af9e08:LOC,Magnan,4336819-62_R_98_6201_19:40-RESEAU2023-62-Dimanche-10,1,620015,0,0
62,RESEAU2023-62-Dimanche-10-62,4336819-62_R_98_6201_19:40-RESEAU2023-62-Dimanche-10,Magnan,4336819-62_R_98_6201_19:40-RESEAU2023-62-Dimanche-10,1,620015,0,0
75,chouette:TimeTable:1a1f0115-0d34-40ed-ace6-30f83422e577:LOC,4962946-75_R_97_7501_18:20-RESEAU2023-75-Dimanche-69-chouette:TimeTable:1a1f0115-0d34-40ed-ace6-30f83422e577:LOC,Gare SNCF,4962946-75_R_97_7501_18:20-RESEAU2023-75-Dimanche-69,1,750032,0,0
75,RESEAU2023-75-Dimanche-69-75,4962946-75_R_97_7501_18:20-RESEAU2023-75-Dimanche-69,Gare SNCF,4962946-75_R_97_7501_18:20-RESEAU2023-75-Dimanche-69,1,750032,0,0
40,RESEAU2023-40-Semaine-04-40,4350579-40_A_50_4001_10:23-RESEAU2023-40-Semaine-04,Collège Matisse,4350579-40_A_50_4001_10:23-RESEAU2023-40-Semaine-04,0,400009,0,0
75,chouette:TimeTable:1a1f0115-0d34-40ed-ace6-30f83422e577:LOC,4962942-75_R_97_7501_14:00-RESEAU2023-75-Dimanche-69-chouette:TimeTable:1a1f0115-0d34-40ed-ace6-30f83422e577:LOC,Gare SNCF,4962942-75_R_97_7501_14:00-RESEAU2023-75-Dimanche-69,1,750032,0,0
75,RESEAU2023-75-Dimanche-69-75,4962942-75_R_97_7501_14:00-RESEAU2023-75-Dimanche-69,Gare SNCF,4962942-75_R_97_7501_14:00-RESEAU2023-75-Dimanche-69,1,750032,0,0
62,chouette:TimeTable:eeeb716f-7972-4f7c-b0b6-c42eb0af9e08:LOC,4336793-62_R_98_6201_17:10-RESEAU2023-62-Dimanche-10-chouette:TimeTable:eeeb716f-7972-4f7c-b0b6-c42eb0af9e08:LOC,Magnan,4336793-62_R_98_6201_17:10-RESEAU2023-62-Dimanche-10,1,620015,0,0
62,RESEAU2023-62-Dimanche-10-62,4336793-62_R_98_6201_17:10-RESEAU2023-62-Dimanche-10,Magnan,4336793-62_R_98_6201_17:10-RESEAU2023-62-Dimanche-10,1,620015,0,0
62,RESEAU2023-62-Semaine-17-62,4669756-62_A_48_6206_08:00-RESEAU2023-62-Semaine-17,,4669756-62_A_48_6206_08:00-RESEAU2023-62-Semaine-17,0,620012,0,0
62,RESEAU2023-62-Samedi-10-62,4336739-62_R_98_6202_17:25-RESEAU2023-62-Samedi-10,Magnan,4336739-62_R_98_6202_17:25-RESEAU2023-62-Samedi-10,1,620015,0,0
40,RESEAU2023-40-Semaine-04-40,4350584-40_A_50_4001_12:53-RESEAU2023-40-Semaine-04,Collège Matisse,4350584-40_A_50_4001_12:53-RESEAU2023-40-Semaine-04,0,400009,0,0
62,RESEAU2023-62-Samedi-10-62,4336735-62_R_98_6203_19:35-RESEAU2023-62-Samedi-10,Magnan,4336735-62_R_98_6203_19:35-RESEAU2023-62-Samedi-10,1,620015,0,0
40,RESEAU2023-40-Semaine-04-40,4350578-40_A_50_4001_09:53-RESEAU2023-40-Semaine-04,Collège Matisse,4350578-40_A_50_4001_09:53-RESEAU2023-40-Semaine-04,0,400009,0,0
40,RESEAU2023-40-Semaine-04-40,4350581-40_A_50_4001_11:23-RESEAU2023-40-Semaine-04,Collège Matisse,4350581-40_A_50_4001_11:23-RESEAU2023-40-Semaine-04,0,400009,0,0
C34,RESEAU2021-C34-Dimanche-02-C34,3064039-C34_A_1_C3402_15:30-RESEAU2021-C34-Dimanche-02-RESEAU2021-C34-Dimanche-02-C34,,3064039-C34_A_1_C3402_15:30-RESEAU2021-C34-Dimanche-02,0,C340001,0,0
C34,chouette:TimeTable:bdc58b5e-d2f7-4f1c-b435-47be864e6679:LOC,3064039-C34_A_1_C3402_15:30-RESEAU2021-C34-Dimanche-02,,3064039-C34_A_1_C3402_15:30-RESEAU2021-C34-Dimanche-02,0,C340001,0,0
40,RESEAU2023-40-Semaine-04-40,4350593-40_R_99_4001_15:10-RESEAU2023-40-Semaine-04,Pasteur / Gassin,4350593-40_R_99_4001_15:10-RESEAU2023-40-Semaine-04,1,400010,0,0
40,RESEAU2023-40-Semaine-04-40,4350563-40_R_99_4001_10:40-RESEAU2023-40-Semaine-04,Pasteur / Gassin,4350563-40_R_99_4001_10:40-RESEAU2023-40-Semaine-04,1,400010,0,0
75,chouette:TimeTable:1a1f0115-0d34-40ed-ace6-30f83422e577:LOC,4962937-75_R_97_7501_08:30-RESEAU2023-75-Dimanche-69-chouette:TimeTable:1a1f0115-0d34-40ed-ace6-30f83422e577:LOC,Gare SNCF,4962937-75_R_97_7501_08:30-RESEAU2023-75-Dimanche-69,1,750032,0,0
75,RESEAU2023-75-Dimanche-69-75,4962937-75_R_97_7501_08:30-RESEAU2023-75-Dimanche-69,Gare SNCF,4962937-75_R_97_7501_08:30-RESEAU2023-75-Dimanche-69,1,750032,0,0
62,chouette:TimeTable:eeeb716f-7972-4f7c-b0b6-c42eb0af9e08:LOC,4336779-62_R_98_6201_08:50-RESEAU2023-62-Dimanche-10-chouette:TimeTable:eeeb716f-7972-4f7c-b0b6-c42eb0af9e08:LOC,Magnan,4336779-62_R_98_6201_08:50-RESEAU2023-62-Dimanche-10,1,620015,0,0
62,RESEAU2023-62-Dimanche-10-62,4336779-62_R_98_6201_08:50-RESEAU2023-62-Dimanche-10,Magnan,4336779-62_R_98_6201_08:50-RESEAU2023-62-Dimanche-10,1,620015,0,0
75,chouette:TimeTable:1a1f0115-0d34-40ed-ace6-30f83422e577:LOC,4962947-75_R_97_7501_19:15-RESEAU2023-75-Dimanche-69-chouette:TimeTable:1a1f0115-0d34-40ed-ace6-30f83422e577:LOC,Gare SNCF,4962947-75_R_97_7501_19:15-RESEAU2023-75-Dimanche-69,1,750032,0,0
